Price	Open	High	Low
60.2	59.8	60.35	58.1
59.85	59	59.85	57.75
59	58.2	59	57.25
59	60	60	58.55
60.15	61.5	61.5	59.8
61.5	60	61.5	60
60	59.75	61	59.45
60	61	61.6	59.75
61	60.2	61.3	60.1
60.2	59.45	60.3	59.45
59.5	58.55	59.7	58.55
58.55	57.4	59.2	57.4
59	57	59	56.05
57.3	57.45	57.45	57
57.45	56.3	57.5	56
56.2	56.3	56.4	56
56.25	56.3	56.35	56.15
56.25	56.2	56.5	55.65
56.2	55.6	56.25	55.2
55.45	54.85	55.55	54.85
55	55.25	55.45	55
55.25	55	55.4	55
55	55.1	55.1	55
55	55	55	54
55	54	55.15	54
54.9	52.5	54.9	52.5
52.55	52.55	52.75	52.2
52.6	51	52.6	51
50.5	50.2	51	50.2
50.55	50.15	51.05	50.15
50.1	51.35	51.35	50.05
51.5	51.95	51.95	51.1
52	51.5	53.5	50.5
52	51.95	52.8	51.6
51.9	52.35	52.5	51.65
52.6	53.1	53.25	52.5
54.2	53.9	54.5	53
54.5	54.15	54.75	54.15
54.75	52.6	55	52.6
52.6	53.5	53.7	52.5
53	52.75	53.85	52.75
52.75	54.2	54.2	52.75
53.3	54.2	54.2	53.25
54.2	52	54.2	52
53	52	53	52
52.35	51.65	53	51.65
51.5	54.15	54.15	51.5
54.2	54.15	54.2	53.3
54.5	53.3	54.55	53.3
54.35	54.4	54.4	53.6
54.4	53.55	54.5	53.5
53.5	54	54.15	53.2
54.9	54.65	55	54
54.55	53.5	54.55	53.5
53.3	53.15	54	53.15
53.15	55	55	53.1
53.95	54.65	54.65	53.3
53.75	55.05	55.5	53.75
55	54.35	55.05	53.2
54.15	54.2	54.2	53.5
53.6	52.35	53.75	52.35
53.8	53	53.8	52.3
54.25	54.5	54.5	52.25
54.5	52.2	54.5	52.2
52.15	55	55	52.15
54.95	54.95	54.95	54.8
54.65	54.75	54.9	53.95
54.75	54.75	54.8	54
54.8	54.9	55.5	54.25
54.9	54.4	54.9	54.35
54.3	53.95	54.35	53.5
54	53.55	54	53.35
53.35	52.9	53.4	52.2
52.9	52.8	53	51.7
52.8	52	52.8	51.45
52	51.5	52	50.5
51.5	51	51.8	50.95
51	49	51	49
51	50	51.1	50
51	49.5	51	48.8
50	50.5	50.5	49.9
49.85	49.7	49.95	48.8
49.7	49	50.1	49
49.85	48.7	49.85	48.5
49.25	48.8	50	48.8
48.5	49.35	50	48.5
49.55	50.5	50.6	49.55
50.95	51.1	51.1	50.6
50.7	50.5	50.8	50.5
50.5	50	51.5	50
50.6	50.2	51.2	49.5
